effect_type,effect_name,sol,sep,inbred
random_non_gen,Litter73,19.74832393261247,0.0,0.0
random_non_gen,Litter74,4.883558302299861,0.0,0.0
random_non_gen,Litter75,4.4284630990013305,0.0,0.0
random_non_gen,Litter76,-7.18417274584967,0.0,0.0
random_non_gen,Litter77,-10.296100741875904,0.0,0.0
random_non_gen,Litter78,-12.919965145572526,0.0,0.0
random_non_gen,Litter79,-4.921091970994404,0.0,0.0
random_non_gen,Litter80,-20.070940838638005,0.0,0.0
random_non_gen,Litter81,67.72439067858389,0.0,0.0
random_non_gen,Litter82,11.309456111475896,0.0,0.0
random_non_gen,Litter83,21.26720374632896,0.0,0.0
random_non_gen,Litter84,-47.19674753261164,0.0,0.0
random_non_gen,Litter85,15.44382670699212,0.0,0.0
random_non_gen,Litter86,-1.867972018162864,0.0,0.0
random_non_gen,Litter87,-54.643346894174066,0.0,0.0
random_non_gen,Litter88,-12.79626750542579,0.0,0.0
random_non_gen,Litter89,10.858936056201596,0.0,0.0
random_non_gen,Litter90,-30.780978811817537,0.0,0.0
random_non_gen,Litter91,-14.88730922838402,0.0,0.0
random_non_gen,Litter92,-6.884024423025489,0.0,0.0
random_non_gen,Litter93,-14.042187182191853,0.0,0.0
random_non_gen,Litter94,-11.73077007764285,0.0,0.0
random_non_gen,Litter95,7.8337153631852265,0.0,0.0
random_non_gen,Litter96,-5.1254243980986,0.0,0.0
random_non_gen,Litter97,-0.3154376492065377,0.0,0.0
random_non_gen,Litter98,17.984591612365527,0.0,0.0
random_non_gen,Litter99,33.86032714336969,0.0,0.0
random_non_gen,Litter100,-19.002265770130602,0.0,0.0
random_non_gen,Litter101,-21.63858887328419,0.0,0.0
random_non_gen,Litter102,0.5638682544790032,0.0,0.0
random_non_gen,Litter103,-5.1308719320835845,0.0,0.0
random_non_gen,Litter104,-22.840716370717896,0.0,0.0
random_non_gen,Litter105,2.8423615096898986,0.0,0.0
random_non_gen,Litter106,-19.48926181019692,0.0,0.0
random_non_gen,Litter107,-41.550391239604735,0.0,0.0
random_non_gen,Litter108,-0.007973766655634526,0.0,0.0
random_non_gen,Litter109,-6.3397434844942095,0.0,0.0
random_non_gen,Litter110,-6.1401469738239784,0.0,0.0
random_non_gen,Litter111,-37.5948501485015,0.0,0.0
random_non_gen,Litter112,-16.87480547633934,0.0,0.0
random_non_gen,Litter113,-17.2952825550533,0.0,0.0
random_non_gen,Litter114,-11.177030768042927,0.0,0.0
random_non_gen,Litter115,-0.3268623165258111,0.0,0.0
random_non_gen,Litter116,10.728090847534027,0.0,0.0
random_non_gen,Litter117,83.65313551127907,0.0,0.0
random_non_gen,Litter118,2.0545600076817285,0.0,0.0
random_non_gen,Litter119,-2.135042067091945,0.0,0.0
random_non_gen,Litter120,21.733931290853405,0.0,0.0
random_non_gen,Litter121,18.518533591176137,0.0,0.0
random_non_gen,Litter122,1.1304264702492792,0.0,0.0
random_non_gen,Litter123,-19.978667443722866,0.0,0.0
random_non_gen,Litter124,-13.885886857939846,0.0,0.0
random_non_gen,Litter125,14.082045166643358,0.0,0.0
random_non_gen,Litter126,50.418575334370075,0.0,0.0
random_non_gen,Litter127,56.19881031880525,0.0,0.0
random_non_gen,Litter128,5.848296369879867,0.0,0.0
random_non_gen,Litter129,-14.046129276627168,0.0,0.0
random_non_gen,Litter130,-32.46894821919673,0.0,0.0
random_non_gen,Litter131,41.16580627871633,0.0,0.0
random_non_gen,Litter132,86.75196090164177,0.0,0.0
random_non_gen,Litter133,38.67831925557619,0.0,0.0
